190.52.110.111:999 | HTTP | VE | Transparent
45.88.0.111:3128 | HTTP | PL | Transparent
193.24.30.50:37777 | HTTP | UA | Transparent
116.80.48.38:7777 | HTTP | JP | Transparent
167.103.144.127:8800 | HTTP | AU | Transparent
217.217.249.160:8080 | HTTP | IN | Elite
103.165.247.34:8080 | HTTP | ID | Transparent
116.80.65.81:3172 | HTTP | JP | Transparent
38.159.229.249:999 | HTTP | EC | Transparent
185.191.236.162:3128 | HTTP | CH | Transparent
164.163.40.15:10000 | HTTP | AR | Transparent
209.14.118.116:999 | HTTP | CO | Transparent
61.91.162.126:8080 | HTTP | TH | Transparent
164.163.42.40:10000 | HTTP | AR | Transparent
203.111.253.106:8080 | HTTP | ID | Transparent
38.210.179.112:999 | HTTP | MX | Transparent
164.163.42.10:10000 | HTTP | AR | Transparent
158.160.215.167:8125 | HTTP | RU | Elite
157.66.16.33:8787 | HTTP | ID | Transparent
164.163.41.1:10000 | HTTP | AR | Transparent
45.236.66.163:8520 | HTTP | BR | Transparent
103.39.49.98:8080 | HTTP | ID | Transparent
163.61.55.173:1111 | HTTP | ID | Transparent
167.103.115.102:8800 | HTTP | SG | Transparent
65.21.90.27:945 | HTTP | FI | Elite
164.163.42.25:10000 | HTTP | AR | Transparent
106.10.55.212:1121 | HTTP | KR | Transparent
167.103.34.108:8800 | HTTP | IN | Transparent
164.163.42.31:10000 | HTTP | AR | Transparent
180.191.59.10:8081 | HTTP | PH | Transparent
103.191.58.210:8080 | HTTP | ID | Transparent
186.5.94.206:999 | HTTP | EC | Transparent
213.220.62.62:3128 | HTTP | NL | Transparent
103.141.174.54:11411 | HTTP | BD | Transparent
147.161.239.240:8800 | HTTP | DE | Transparent
180.191.16.198:8082 | HTTP | PH | Transparent
159.223.71.162:8080 | HTTP | SG | Elite
181.209.75.124:8080 | HTTP | AR | Transparent
103.156.17.157:8818 | HTTP | ID | Transparent
65.21.90.27:899 | HTTP | FI | Elite
164.163.42.6:10000 | HTTP | AR | Transparent
177.68.149.122:8080 | HTTP | BR | Transparent
103.70.44.6:8080 | HTTP | IN | Transparent
195.123.209.48:3128 | HTTP | LV | Transparent
148.222.152.8:999 | HTTP | MX | Transparent
123.25.25.180:1452 | HTTP | VN | Elite
103.166.254.222:3124 | HTTP | ID | Transparent
203.205.49.2:10019 | HTTP | VN | Elite
150.249.255.91:3128 | HTTP | JP | Transparent
200.24.130.146:999 | HTTP | EC | Transparent
98.147.60.146:48678 | HTTP | US | Transparent
157.10.97.101:8181 | HTTP | ID | Transparent
164.163.42.17:10000 | HTTP | AR | Transparent
103.173.140.145:8080 | HTTP | ID | Transparent
103.130.182.85:8080 | HTTP | ID | Transparent
121.101.129.97:8182 | HTTP | ID | Elite
200.24.130.150:999 | HTTP | EC | Transparent
20.78.118.91:8561 | HTTP | JP | Anonymous
20.210.39.153:8561 | HTTP | JP | Anonymous
201.20.79.182:8088 | HTTP | BR | Transparent
167.103.31.122:8800 | HTTP | IN | Transparent
20.27.15.111:8561 | HTTP | JP | Anonymous
103.240.6.22:16498 | HTTP | VN | Elite
45.88.0.98:3128 | HTTP | PL | Transparent
187.251.224.167:80 | HTTP | MX | Transparent
218.108.131.186:17890 | HTTP | CN | Elite
133.242.138.34:8100 | HTTP | JP | Transparent
82.114.228.67:1080 | HTTP | RU | Elite
103.191.196.212:8080 | HTTP | ID | Transparent
49.229.100.235:8080 | HTTP | TH | Transparent
181.209.96.156:999 | HTTP | AR | Transparent
43.230.129.230:8080 | HTTP | ID | Transparent
112.198.130.205:8080 | HTTP | PH | Transparent
206.81.27.105:3128 | HTTP | DE | Transparent
190.99.192.158:999 | HTTP | CO | Transparent
164.163.40.1:10000 | HTTP | AR | Transparent
103.153.191.10:8080 | HTTP | ID | Transparent
38.210.179.33:999 | HTTP | MX | Transparent
202.154.18.11:9091 | HTTP | ID | Transparent
103.39.51.207:8080 | HTTP | ID | Transparent
49.147.107.185:8082 | HTTP | PH | Transparent
154.19.38.119:8097 | HTTP | ID | Transparent
95.213.217.168:52004 | HTTP | RU | Transparent
37.187.109.70:10111 | HTTP | FR | Transparent
164.163.42.4:10000 | HTTP | AR | Transparent
65.21.90.27:928 | HTTP | FI | Elite
147.161.210.140:8800 | HTTP | JP | Transparent
38.194.246.34:999 | HTTP | MX | Transparent
86.102.77.67:1081 | HTTP | RU | Elite
79.137.197.56:3128 | HTTP | NL | Elite
103.172.121.26:8080 | HTTP | ID | Transparent
65.108.203.35:18080 | HTTP | FI | Elite
102.209.56.21:80 | HTTP | KE | Elite
43.224.171.232:8182 | HTTP | ID | Transparent
2.63.162.206:3128 | HTTP | RU | Transparent
150.107.140.238:3128 | HTTP | ID | Anonymous
104.247.51.76:3128 | HTTP | US | Transparent
164.163.42.35:10000 | HTTP | AR | Transparent
163.223.116.209:8080 | HTTP | ID | Transparent
177.234.217.88:999 | HTTP | EC | Transparent
20.78.26.206:8561 | HTTP | JP | Anonymous
59.153.16.105:20909 | HTTP | BD | Transparent
123.16.15.41:1452 | HTTP | VN | Elite
36.88.150.66:8080 | HTTP | ID | Transparent
164.163.42.36:10000 | HTTP | AR | Transparent
164.163.42.2:10000 | HTTP | AR | Transparent
113.11.126.238:30226 | HTTP | BD | Elite
103.156.96.31:8088 | HTTP | ID | Transparent
164.163.43.102:10000 | HTTP | AR | Transparent
45.167.125.21:999 | HTTP | CO | Transparent
202.129.185.187:8080 | HTTP | ID | Transparent
177.136.44.193:54443 | HTTP | BR | Transparent
187.102.219.34:999 | HTTP | AR | Transparent
65.21.90.27:960 | HTTP | FI | Elite
196.251.241.54:8080 | HTTP | GQ | Transparent
180.191.120.122:8082 | HTTP | PH | Elite
200.174.198.32:8888 | HTTP | BR | Anonymous
164.163.42.8:10000 | HTTP | AR | Transparent
185.41.152.110:3128 | HTTP | FR | Elite
164.163.40.16:10000 | HTTP | AR | Transparent
217.77.102.18:3128 | HTTP | RU | Elite
